target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T01,1359.8,30.0,ModeA_points,0,0.0,0.05713481158478438,0.02856740579239219,8,4,0.5,0.0,0.044402917837145894,0.0
T01,1359.8,30.0,ModeB_points,0,0.0,0.05713481158478438,0.02856740579239219,22,5,0.22727272727272727,0.0,0.0,0.0
T01,1359.8,30.0,ModeA_points,1,0.06107848660741087,0.09579964422153776,0.07843906541447432,20,10,0.5,0.11751502846716,1.3701781187782065,0.0
T01,1359.8,30.0,ModeB_points,1,0.06107848660741087,0.09579964422153776,0.07843906541447432,8,5,0.625,-1.6772198495334454,0.7757844313477911,0.0
T01,1359.8,30.0,ModeA_points,2,0.09595598973828504,0.11436362903002245,0.10515980938415374,10,5,0.5,0.0,0.7898364536911373,0.0
T01,1359.8,30.0,ModeB_points,2,0.09595598973828504,0.11436362903002245,0.10515980938415374,8,5,0.625,0.0,0.15864920221597312,0.0
T01,1359.8,30.0,ModeA_points,3,0.1143709157264579,0.13421207697912105,0.12429149635278947,8,5,0.625,-0.4205724856271025,0.4723419422883599,0.0
T01,1359.8,30.0,ModeB_points,3,0.1143709157264579,0.13421207697912105,0.12429149635278947,25,14,0.56,0.908523931935346,1.0628089731288073,0.0
T01,1359.8,30.0,ModeA_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,5,0.625,-0.34401926986720177,0.5966952818736884,0.0
T01,1359.8,30.0,ModeB_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,13,0.43333333333333335,-0.0888025467370156,0.5814225044960681,0.0
T01,1359.8,30.0,ModeA_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,8,4,0.5,1.8967070488600037,0.4998815627335973,0.0
T01,1359.8,30.0,ModeB_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,32,22,0.6875,0.0,0.8452689322047519,0.0
T01,1359.8,30.0,ModeA_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,8,3,0.375,-0.020559397877768504,0.027914758276789797,0.0
T01,1359.8,30.0,ModeB_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,14,7,0.5,0.0,1.0258989598016153,0.0
T01,1359.8,30.0,ModeA_points,7,0.16177063886555873,1.0,0.5808853194327793,244,181,0.7418032786885246,0.0,0.08880615333397657,0.0
T01,1359.8,30.0,ModeB_points,7,0.16177063886555873,1.0,0.5808853194327793,183,107,0.5846994535519126,0.0,0.42283839868387774,0.0
