target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T04,1359.68,30.0,ModeA_points,0,0.0,0.043984415623033825,0.021992207811516912,8,0,0.0,,,0.0
T04,1359.68,30.0,ModeB_points,0,0.0,0.043984415623033825,0.021992207811516912,20,0,0.0,,,0.0
T04,1359.68,30.0,ModeA_points,1,0.048541040033943564,0.09435548589472317,0.07144826296433338,21,0,0.0,,,0.0
T04,1359.68,30.0,ModeB_points,1,0.048541040033943564,0.09435548589472317,0.07144826296433338,8,0,0.0,,,0.0
T04,1359.68,30.0,ModeA_points,2,0.09491169354212527,0.11407207354758034,0.10449188354485281,11,1,0.09090909090909091,-0.217202028451013,0.0,0.0
T04,1359.68,30.0,ModeB_points,2,0.09491169354212527,0.11407207354758034,0.10449188354485281,8,1,0.125,0.7009064006621744,0.0,0.0
T04,1359.68,30.0,ModeA_points,3,0.11436362903002245,0.13421207697912105,0.12428785300457175,8,0,0.0,,,0.0
T04,1359.68,30.0,ModeB_points,3,0.11436362903002245,0.13421207697912105,0.12428785300457175,26,3,0.11538461538461539,0.03009850515507595,1.878523200468888,0.0
T04,1359.68,30.0,ModeA_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,0,0.0,,,0.0
T04,1359.68,30.0,ModeB_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,1,0.03333333333333333,1.0347687471154456,0.0,0.0
T04,1359.68,30.0,ModeA_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,8,0,0.0,,,0.0
T04,1359.68,30.0,ModeB_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,32,2,0.0625,2.1933248943355297,0.20709511889582077,0.0
T04,1359.68,30.0,ModeA_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,8,0,0.0,,,0.0
T04,1359.68,30.0,ModeB_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,14,1,0.07142857142857142,2.9468093417741006,0.0,0.0
T04,1359.68,30.0,ModeA_points,7,0.16177063886555873,1.0,0.5808853194327793,244,9,0.036885245901639344,1.876139972514089,1.0115790117860173,0.0
T04,1359.68,30.0,ModeB_points,7,0.16177063886555873,1.0,0.5808853194327793,183,15,0.08196721311475409,1.5889838975899604,0.4977224016788122,0.0
